Date,Total credit,Credit per day
2014-01-04,1859983974415,1615546179
2014-01-04,1859983974415,1615546179
2014-01-05,1861560931075,1576956660
2014-01-05,1861560931075,1576956660
2014-01-06,1863130787995,1569856921
2014-01-06,1863130787995,1569856921
2014-01-07,1864836186701,1705398706
2014-01-07,1864836186701,1705398706
2014-01-08,1866387738128,1551551427
2014-01-08,1866387738128,1551551427
2014-01-09,1868055562737,1667824608
2014-01-09,1868055562737,1667824608
2014-01-10,1869690227055,1634664319
2014-01-10,1869690227055,1634664319
2014-01-11,1871364006829,1673779773
2014-01-11,1871364006829,1673779773
2014-01-12,1873066085847,1702079018
2014-01-13,1874759378231,1693292384
2014-01-14,1876449252172,1689873941
2014-01-15,1878142317165,1693064993
2014-01-16,1879830143226,1687826061
2014-01-17,1881482892342,1652749116
2014-01-18,1883121505131,1638612789
2014-01-19,1884715318783,1593813651
2014-01-20,1886211070790,1495752008
2014-01-21,1887697468279,1486397489
2014-01-22,1889179204787,1481736508
2014-01-23,1890729672538,1550467751
2014-01-24,1892269995341,1540322803
2014-01-25,1893841762225,1571766884
2014-01-26,1895418095570,1576333345
2014-01-27,1896990750616,1572655045
2014-01-28,1898601671604,1610920989
2014-01-29,1900143962343,1542290739
2014-01-30,1901772844777,1628882434
2014-01-31,1903388257550,1615412773
2014-02-01,1904990214586,1601957036
2014-02-02,1906578724250,1588509664
2014-02-03,1908136943892,1558219641
2014-02-04,1909772331228,1635387336
2014-02-05,1911362551901,1590220673
2014-02-06,1913055672023,1693120122
2014-02-07,1915147322230,2091650207
2014-02-08,1916658524338,1511202108
2014-02-09,1918585823990,1927299652
2014-02-10,1920103746968,1517922978
2014-02-11,1921554337690,1450590722
2014-02-12,1923687523770,2133186080
2014-02-13,1925385032147,
2014-02-14,1927016217755,1631185608
2014-02-15,1928645749007,1629531252
2014-02-16,1930375935724,1730186717
2014-02-17,1931933737535,1557801810
2014-02-18,1933605040368,1671302833
2014-02-18,1933605040368,1671302833
2014-02-19,1935147063077,1542022708
2014-02-20,1936720777028,1573713952
2014-02-20,1936720777028,1573713952
2014-02-21,1938308038529,1587261501
2014-02-21,1938308038529,1587261501
2014-02-22,1940048084951,1740046422
2014-02-22,1940048084951,1740046422
2014-02-23,1941801623543,1753538592
2014-02-23,1941801623543,1753538592
2014-02-24,1943478613818,1676990275
2014-02-24,1943478613818,1676990275
2014-02-25,1945222094333,1743480515
2014-02-25,1945222094333,1743480515
2014-02-26,1946865627948,1643533615
2014-02-26,1946865627948,1643533615
2014-02-27,1948574643631,1709015683
2014-02-27,1948574643631,1709015683
2014-02-28,1950227290032,1652646401
2014-02-28,1950227290032,1652646401
2014-03-01,1951988148989,1760858957
2014-03-01,1951988148989,1760858957
2014-03-02,1953663764620,1675615631
2014-03-02,1953663764620,1675615631
2014-03-03,1955386367501,1722602881
2014-03-03,1955386367501,1722602881
2014-03-04,1957086160410,1699792910
2014-03-04,1957086160410,1699792910
2014-03-05,1958781696258,1695535848
2014-03-05,1958781696258,1695535848
2014-03-06,1960441032624,1659336366
2014-03-06,1960441032624,1659336366
2014-03-07,1962103302675,1662270051
2014-03-07,1962103302675,1662270051
2014-03-08,1963756733894,1653431219
2014-03-08,1963756733894,1653431219
2014-03-09,1965423347347,1666613453
2014-03-09,1965423347347,1666613453
2014-03-10,1967110706070,1687358723
2014-03-10,1967110706070,1687358723
2014-03-11,1968769400596,1658694526
2014-03-11,1968769400596,1658694526
2014-03-12,1970345656851,1576256255
2014-03-12,1970345656851,1576256255
2014-03-13,1971981051278,1635394427
2014-03-13,1971981051278,1635394427
2014-03-14,1973634327444,1653276166
2014-03-14,1973634327444,1653276166
2014-03-15,1975291834039,1657506595
2014-03-15,1975291834039,1657506595
2014-03-16,1976977636388,1685802349
2014-03-16,1976977636388,1685802349
2014-03-17,1978609301227,1631664839
2014-03-17,1978609301227,1631664839
2014-03-18,1979998375026,1389073800
2014-03-18,1979998375026,1389073800
2014-03-19,1981642868310,1644493283
2014-03-19,1981642868310,1644493283
2014-03-20,1983369438809,1726570500
2014-03-20,1983369438809,1726570500
2014-03-21,1985048944990,1679506181
2014-03-21,1985048944990,1679506181
2014-03-22,1986715312760,1666367770
2014-03-22,1986715312760,1666367770
2014-03-23,1988283247418,1567934658
2014-03-23,1988283247418,1567934658
2014-03-24,1989986999267,1703751849
2014-03-24,1989986999267,1703751849
2014-03-25,1991668011143,1681011876
2014-03-25,1991668011143,1681011876
2014-03-26,1993323145682,1655134539
2014-03-27,1994988394448,1665248766
2014-03-28,1996596346821,1607952373
2014-03-29,1998288672615,1692325794
2014-03-31,2055457889404,
2014-04-12,2074718834892,
2014-05-22,2082592596249,
2014-05-23,2084112516295,1519920046
2014-05-24,2085618681611,1506165316
2014-05-25,2087147098075,1528416464
2014-05-26,2088660239110,1513141035
2014-05-27,2090196308184,1536069075
2014-05-28,2092135306040,1938997856
2014-05-29,2093677665269,1542359229
2014-05-30,2095219206548,1541541278
2014-05-31,2096736145556,1516939008
2014-06-01,2098286168399,1550022843
2014-06-02,2099784375467,1498207069
2014-06-03,2101316013037,1531637570
2014-06-04,2102786121207,1470108170
2014-06-05,2104257305057,1471183850
2014-06-06,2105619934914,1362629857
2014-06-07,2106704798851,1084863937
2014-06-08,2107812547149,1107748298
2014-06-09,2108964396983,1151849834
2014-06-10,2110105642029,1141245047
2014-06-11,2111246371780,1140729751
2014-06-12,2112400422409,1154050629
2014-06-13,2113534373275,1133950866
2014-06-14,2114761232721,1226859445
2014-06-15,2115956245518,1195012797
2014-06-16,2117324186166,1367940648
2014-06-17,2119631539972,2307353806
2014-06-18,2121334908499,1703368526
2014-06-19,2122978762501,1643854003
2014-06-20,2124539956305,1561193804
2014-06-21,2126322520966,1782564660
2014-06-22,2128215594241,1893073276
2014-06-23,2130221610518,2006016276
2014-06-24,2132223507201,2001896683
2014-06-25,2134482628876,2259121676
2014-06-26,2136943908755,2461279879
2014-06-27,2140077298097,3133389342
2014-06-28,2143489861271,3412563174
2014-06-29,2147259676578,3769815308
2014-06-30,2150529225201,3269548623
2014-07-01,2154446241901,3917016700
2014-07-02,2158350499902,3904258001
2014-07-31,2450822201191,
2014-08-02,2468059204987,
2014-08-03,2482700993578,14641788591
2014-08-31,2970467885315,
2014-10-14,3774137350302,
2014-10-15,3793261438309,19124088007
2014-10-17,3833888870503,
2014-10-18,3853676232028,19787361525
2014-12-01,4933892482193,
2014-12-02,4960094220441,26201738248
2014-12-03,4986297503496,26203283056
2014-12-03,4986297503496,26203283056
2014-12-04,5006780590153,20483086657
2014-12-04,5006780590153,20483086657
2014-12-05,5032619654857,25839064703
2014-12-05,5032619654857,25839064703
2014-12-06,5065350626655,32730971799
2014-12-06,5065350626655,32730971799
2014-12-07,5102056802443,36706175788
2014-12-07,5102056802443,36706175788
2014-12-08,5130670784525,28613982082
2014-12-08,5130670784525,28613982082
2014-12-09,5159516495531,28845711006
2014-12-09,5159516495531,28845711006
2014-12-10,5187953659298,28437163768
2014-12-10,5187953659298,28437163768
2014-12-11,5215571688128,27618028830
2014-12-11,5215571688128,27618028830
2014-12-12,5243960096496,28388408368
2014-12-12,5243960096496,28388408368
2014-12-13,5273352504742,29392408245
2014-12-13,5273352504742,29392408245
2014-12-14,5301157005367,27804500625
2014-12-14,5301157005367,27804500625
2014-12-15,5343701969773,42544964406
2014-12-15,5343701969773,42544964406
2014-12-16,5375601782045,31899812272
2014-12-16,5375601782045,31899812272
2014-12-17,5405642949099,30041167054
2014-12-17,5405642949099,30041167054
2014-12-18,5434457102446,28814153347
2014-12-18,5434457102446,28814153347
2014-12-19,5464613715271,30156612825
2014-12-19,5464613715271,30156612825
2014-12-20,5495951646986,31337931716
2014-12-20,5495951646986,31337931716
2014-12-21,5529644137219,33692490232
2014-12-21,5529644137219,33692490232
2014-12-22,5559317070363,29672933144
2014-12-22,5559317070363,29672933144
2014-12-23,5590216105513,30899035150
2014-12-23,5590216105513,30899035150
2014-12-24,5621607311346,31391205832
2014-12-24,5621607311346,31391205832
2014-12-25,5664684414437,43077103091
2014-12-25,5664684414437,43077103091
2014-12-26,5690732298968,26047884531
2014-12-26,5690732298968,26047884531
2014-12-27,5728044996649,37312697681
2014-12-27,5728044996649,37312697681
2014-12-28,5751427691632,23382694983
2014-12-28,5751427691632,23382694983
2014-12-29,5782510249190,31082557558
2014-12-29,5782510249190,31082557558
2014-12-30,5812484424913,29974175723
2014-12-30,5812484424913,29974175723
2014-12-31,5846849184244,34364759331
2014-12-31,5846849184244,34364759331
2015-01-01,5886769796119,39920611874
2015-01-01,5886769796119,39920611874
2015-01-02,5921244357453,34474561334
2015-01-02,5921244357453,34474561334
2015-01-03,5951486835423,30242477970
2015-01-03,5951486835423,30242477970
2015-01-04,5983414771271,31927935848
2015-01-04,5983414771271,31927935848
2015-01-05,6016351279059,32936507789
2015-01-05,6016351279059,32936507789
2015-01-06,6050868169619,34516890559
2015-01-06,6050868169619,34516890559
2015-01-07,6086943716556,36075546938
2015-01-07,6086943716556,36075546938
2015-01-08,6121328163984,34384447428
2015-01-08,6121328163984,34384447428
2015-01-09,6154571011093,33242847109
2015-01-09,6154571011093,33242847109
2015-01-10,6178441893621,23870882528
2015-01-10,6178441893621,23870882528
2015-01-11,6220296808627,41854915006
2015-01-11,6220296808627,41854915006
2015-01-12,6252080579926,31783771299
2015-01-13,6286228304370,34147724443
2015-01-14,6321007416239,34779111869
2015-01-15,6356773743794,35766327555
2015-01-16,6389406147091,32632403297
2015-01-17,6420088144082,30681996991
2015-01-18,6453203560313,33115416231
2015-01-19,6487565220378,34361660065
2015-01-20,6521911123511,34345903134
2015-01-21,6557418153096,35507029585
2015-01-22,6593073412490,35655259394
2015-01-23,6628582848289,35509435799
2015-01-24,6662138131042,33555282754
2015-01-25,6695315219328,33177088286
2015-01-26,6727399183790,32083964462
2015-01-27,6764187849784,36788665994
2015-01-28,6797975561680,33787711896
2015-01-29,6830529516727,32553955047
2015-01-30,6864513539543,33984022816
2015-01-31,6897922568546,33409029004
2015-02-01,6931824057671,33901489124
2015-02-02,6965598693424,33774635753
2015-02-03,6998717538060,33118844636
2015-02-04,7033460146993,34742608933
2015-02-05,7068015018421,34554871427
2015-02-06,7102324735080,34309716659
2015-02-06,7102324735080,34309716659
2015-02-07,7131640709351,29315974272
2015-02-07,7131640709351,29315974272
2015-02-08,7163900181777,32259472425
2015-02-08,7163900181777,32259472425
2015-02-09,7197076079434,33175897657
2015-02-09,7197076079434,33175897657
2015-02-10,7230166202981,33090123547
2015-02-10,7230166202981,33090123547
2015-02-11,7261397157852,31230954871
2015-02-11,7261397157852,31230954871
2015-02-12,7291596088371,30198930519
2015-02-12,7291596088371,30198930519
2015-02-13,7321161065912,29564977542
2015-02-13,7321161065912,29564977542
2015-02-14,7353061244469,31900178557
2015-02-14,7353061244469,31900178557
2015-02-15,7383712750565,30651506096
2015-02-15,7383712750565,30651506096
2015-02-16,7397747700948,14034950383
2015-02-16,7397747700948,14034950383
2015-02-17,7430738866811,32991165863
2015-02-17,7430738866811,32991165863
2015-02-18,7461942536410,31203669600
2015-02-18,7461942536410,31203669600
2015-02-19,7494260178706,32317642295
2015-02-19,7494260178706,32317642295
2015-02-20,7526349658969,32089480263
2015-02-21,7555880351048,29530692079
2015-02-22,7586139484463,30259133415
2015-02-23,7627544824629,41405340167
2015-02-24,7665873894125,38329069496
2015-02-25,7698063327499,32189433374
2015-02-26,7730688689383,32625361883
2015-02-27,7759538569469,28849880086
2015-02-28,7792113986193,32575416724
2015-03-01,7825579142300,33465156107
2015-03-02,7859098465685,33519323385
2015-03-03,7893595950735,34497485050
2015-03-04,7933497490816,39901540080
2015-03-05,7945143566291,11646075475
2015-03-06,8003330515999,58186949708
2015-03-07,8037605389140,34274873141
2015-03-08,8070442095804,32836706664
2015-03-09,8102983035816,32540940013
2015-03-10,8134356990055,31373954238
2015-03-11,8165785565675,31428575621
2015-03-12,8197048388737,31262823061
2015-03-13,8227784597622,30736208885
2015-03-14,8257452262102,29667664480
2015-03-15,8288911547988,31459285886
2015-03-16,8319618818997,30707271009
2015-03-17,8350996553563,31377734566
2015-03-18,8382322686329,31326132767
2015-03-22,8499703551299,
2015-03-23,8530222793715,30519242416
2015-03-24,8560536732932,30313939217
2015-03-25,8590240886271,29704153339
2015-03-26,8619229858671,28988972400
2015-03-27,8649555969540,30326110869
2015-03-28,8679956263734,30400294194
2015-03-29,8711015856646,31059592912
2015-03-30,8742243473567,31227616921
2015-03-31,8772976426337,30732952770
2015-04-01,8804336690346,31360264009
2015-04-02,8835460146926,31123456580
2015-04-03,8866139782952,30679636026
2015-04-04,8896746063419,30606280467
2015-04-05,8927052523288,30306459869
2015-04-06,8958086824852,31034301564
2015-04-07,8990448652174,32361827322
